index,host,source,sourcetype,"_raw","_time"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:44:55 AM EST,8045,2271,0,7,580,74,4,20804,0,0,21231,16743,0,0,0,0,0,0,0,0,2,4748236,114396,0,0,381293,0,0,","2015-01-20T11:44:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:45:10 AM EST,8045,1989,0,7,618,86,4,20804,0,0,21219,16743,0,0,0,0,0,0,0,0,2,4748236,114500,0,0,381306,0,0,","2015-01-20T11:45:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:45:25 AM EST,8045,1715,0,7,584,82,4,20784,0,0,21167,16743,0,0,0,0,0,0,0,0,2,4748236,114405,0,0,381334,0,0,","2015-01-20T11:45:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:45:40 AM EST,8045,1447,0,7,672,87,4,20810,0,0,21273,16743,0,0,0,0,0,0,0,0,2,4748236,114405,0,0,381339,0,0,","2015-01-20T11:45:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:45:55 AM EST,8045,1166,0,7,625,84,4,20810,0,0,21233,16743,0,0,0,0,0,0,0,0,2,4748236,114412,0,0,381377,0,0,","2015-01-20T11:45:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:46:10 AM EST,8045,891,0,7,568,84,4,20804,0,0,21231,16743,0,0,0,0,0,0,0,0,2,4748236,114514,0,0,381489,0,0,","2015-01-20T11:46:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:46:25 AM EST,8045,619,0,7,560,77,4,20804,0,0,21197,16743,0,0,0,0,0,0,0,0,2,4748236,114416,0,0,381488,0,0,","2015-01-20T11:46:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:46:40 AM EST,8042,2770,0,7,814,65,4,20784,0,0,21241,16743,0,0,0,0,0,0,0,0,2,4748236,114416,0,0,381536,0,0,","2015-01-20T11:46:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:46:55 AM EST,8042,2483,1,7,586,99,4,20804,0,0,21221,16743,0,0,0,0,0,0,0,0,3,4748236,114416,0,0,381417,0,0,","2015-01-20T11:46:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:47:10 AM EST,8042,2196,0,7,602,75,4,20804,0,0,21159,16743,0,0,0,0,0,0,0,0,6,4748236,114514,0,0,381496,0,0,","2015-01-20T11:47:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:47:25 AM EST,8042,1918,0,7,561,83,4,20804,0,0,21332,16743,0,0,0,0,0,0,0,0,4,4748236,114417,0,0,381487,0,0,","2015-01-20T11:47:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:47:40 AM EST,8042,1644,0,7,614,91,4,20804,0,0,21160,16743,0,0,0,0,0,0,0,0,2,4748236,114418,0,0,381494,0,0,","2015-01-20T11:47:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:47:55 AM EST,8042,1375,0,7,578,79,4,20804,0,0,21211,16743,0,0,0,0,0,0,0,0,2,4748236,114416,0,0,381467,0,0,","2015-01-20T11:47:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:48:10 AM EST,8042,1097,0,7,593,79,4,20804,0,0,21211,16743,0,0,0,0,0,0,0,0,2,4748236,114504,0,0,381467,0,0,","2015-01-20T11:48:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:48:25 AM EST,8042,818,0,7,552,75,4,20804,0,0,21229,16743,0,0,0,0,0,0,0,0,2,4748236,114411,0,0,381474,0,0,","2015-01-20T11:48:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:48:40 AM EST,8051,2963,0,7,578,95,4,20804,0,0,21211,16743,0,0,0,0,0,0,0,0,2,4748236,114415,0,0,381544,0,0,","2015-01-20T11:48:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:48:55 AM EST,8051,2670,2,7,849,74,4,20804,0,0,21225,16743,0,0,0,0,0,0,0,0,3,4748236,114415,0,0,381518,0,0,","2015-01-20T11:48:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:49:10 AM EST,8051,2390,0,7,582,77,4,20804,0,0,21217,16743,0,0,0,0,0,0,0,0,2,4748236,114513,0,0,381518,0,0,","2015-01-20T11:49:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:49:25 AM EST,8051,2122,0,7,582,82,4,20784,0,0,21219,16743,0,0,0,0,0,0,0,0,3,4748236,114413,0,0,381507,0,0,","2015-01-20T11:49:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:49:40 AM EST,8051,1844,0,7,600,88,4,20804,0,0,21155,16743,0,0,0,0,0,0,0,0,2,4748236,114413,0,0,381480,0,0,","2015-01-20T11:49:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:49:55 AM EST,8051,1564,0,7,572,90,4,20804,0,0,21283,16743,0,0,0,0,0,0,0,0,4,4748236,114413,0,0,381543,0,0,","2015-01-20T11:49:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:50:10 AM EST,8051,1269,0,7,563,83,4,20804,0,0,21213,16743,0,0,0,0,0,0,0,0,5,4748940,114513,0,0,381543,0,0,","2015-01-20T11:50:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:50:25 AM EST,8051,992,0,7,541,78,4,20814,0,0,21217,16743,0,0,0,0,0,0,0,0,7,4748940,114429,0,0,381438,0,0,","2015-01-20T11:50:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:50:40 AM EST,8051,708,0,7,614,89,4,20824,0,0,21245,16743,0,0,0,0,0,0,0,0,3,4748940,114429,0,0,381537,0,0,","2015-01-20T11:50:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:50:55 AM EST,8046,2837,0,7,601,85,4,20824,0,0,21286,16743,0,0,0,0,0,0,0,0,2,4748236,114419,0,0,381362,0,0,","2015-01-20T11:50:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:51:10 AM EST,8046,2555,2,7,585,81,4,20818,0,0,21158,16743,0,0,0,0,0,0,0,0,3,4748236,114513,0,0,381294,0,0,","2015-01-20T11:51:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:51:25 AM EST,8046,2277,0,7,564,83,4,20818,0,0,21269,16743,0,0,0,0,0,0,0,0,2,4748236,114375,0,0,381291,0,0,","2015-01-20T11:51:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:51:40 AM EST,8046,2002,0,7,571,86,4,20818,0,0,21241,16743,0,0,0,0,0,0,0,0,2,4748236,114398,0,0,381389,0,0,","2015-01-20T11:51:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:51:55 AM EST,8046,1730,0,7,571,67,4,20818,0,0,21289,16743,0,0,0,0,0,0,0,0,2,4748236,114404,0,0,381415,0,0,","2015-01-20T11:51:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:52:10 AM EST,8046,1452,0,7,597,76,4,20810,0,0,21109,16743,0,0,0,0,0,0,0,0,2,4748236,114476,0,0,381477,0,0,","2015-01-20T11:52:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:52:25 AM EST,8046,1159,0,7,537,78,4,20784,0,0,21301,16743,0,0,0,0,0,0,0,0,5,4748940,114365,0,0,381447,0,0,","2015-01-20T11:52:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:52:40 AM EST,8046,884,0,7,630,83,4,20818,0,0,21250,16743,0,0,0,0,0,0,0,0,3,4748940,114380,0,0,381490,0,0,","2015-01-20T11:52:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:52:55 AM EST,8046,605,0,7,591,75,4,20818,0,0,21266,16743,0,0,0,0,0,0,0,0,2,4748940,114386,0,0,381494,0,0,","2015-01-20T11:52:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:53:10 AM EST,8049,2792,0,7,611,95,4,20818,0,0,21159,16743,0,0,0,0,0,0,0,0,4,4748236,114487,0,0,381523,0,0,","2015-01-20T11:53:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:53:25 AM EST,8049,2506,1,7,607,93,4,20818,0,0,21249,16743,0,0,0,0,0,0,0,0,5,4748236,114384,0,0,381562,0,0,","2015-01-20T11:53:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:53:40 AM EST,8049,2232,0,7,581,69,4,20818,0,0,21231,16743,0,0,0,0,0,0,0,0,2,4748236,114384,0,0,381661,0,0,","2015-01-20T11:53:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:53:55 AM EST,8049,1957,0,7,560,81,4,20818,0,0,21233,16743,0,0,0,0,0,0,0,0,4,4748236,114376,0,0,381640,0,0,","2015-01-20T11:53:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:54:10 AM EST,8049,1675,0,7,561,83,4,20818,0,0,21227,16743,0,0,0,0,0,0,0,0,2,4748236,114476,0,0,381375,0,0,","2015-01-20T11:54:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:54:25 AM EST,8049,1400,0,7,554,77,4,20818,0,0,21229,16743,0,0,0,0,0,0,0,0,2,4748236,114378,0,0,381395,0,0,","2015-01-20T11:54:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:54:40 AM EST,8049,1129,0,7,602,83,4,20818,0,0,21175,16743,0,0,0,0,0,0,0,0,2,4748236,114378,0,0,381435,0,0,","2015-01-20T11:54:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:54:55 AM EST,8049,851,0,7,609,78,4,20824,0,0,21295,16743,0,0,0,0,0,0,0,0,2,4748236,114378,0,0,380901,0,0,","2015-01-20T11:54:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:55:10 AM EST,8050,3009,0,7,588,83,4,20818,0,0,21241,16743,0,0,0,0,0,0,0,0,2,4748236,114476,0,0,380907,0,0,","2015-01-20T11:55:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:55:25 AM EST,8050,2716,1,7,855,62,4,20818,0,0,21253,16743,0,0,0,0,0,0,0,0,2,4748236,114378,0,0,380907,0,0,","2015-01-20T11:55:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:55:40 AM EST,8050,2438,0,7,607,82,4,20804,0,0,21205,16743,0,0,0,0,0,0,0,0,2,4748236,114364,0,0,380960,0,0,","2015-01-20T11:55:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:55:55 AM EST,8050,2160,0,7,606,90,4,20798,0,0,21163,16743,0,0,0,0,0,0,0,0,3,4748940,114364,0,0,380623,0,0,","2015-01-20T11:55:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:56:10 AM EST,8050,1878,0,7,603,73,4,20812,0,0,21291,16743,0,0,0,0,0,0,0,0,4,4748940,114476,0,0,380466,0,0,","2015-01-20T11:56:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:56:25 AM EST,8050,1605,0,7,559,76,4,20812,0,0,21543,16743,0,0,0,0,0,0,0,0,2,4748940,114373,0,0,380412,0,0,","2015-01-20T11:56:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:56:40 AM EST,8050,1326,0,7,610,75,4,20812,0,0,20909,16743,0,0,0,0,0,0,0,0,3,4748940,114373,0,0,380463,0,0,","2015-01-20T11:56:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:56:55 AM EST,8050,1046,0,7,585,76,4,20812,0,0,21231,16743,0,0,0,0,0,0,0,0,2,4748940,114374,0,0,380423,0,0,","2015-01-20T11:56:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:57:10 AM EST,8050,769,0,7,589,72,4,20812,0,0,21223,16743,0,0,0,0,0,0,0,0,3,4748940,114482,0,0,380421,0,0,","2015-01-20T11:57:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:57:25 AM EST,8044,2875,0,7,593,69,4,20812,0,0,21353,16743,0,0,0,0,0,0,0,0,4,4748236,114388,0,0,380388,0,0,","2015-01-20T11:57:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:57:40 AM EST,8044,2595,1,7,605,144,4,20812,0,0,21123,16743,0,0,0,0,0,0,0,0,3,4748236,114389,0,0,380425,0,0,","2015-01-20T11:57:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:57:55 AM EST,8044,2318,0,7,591,76,4,20808,0,0,21175,16743,0,0,0,0,0,0,0,0,2,4748236,114409,0,0,380230,0,0,","2015-01-20T11:57:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:58:10 AM EST,8044,2031,0,7,582,77,4,20814,0,0,21237,16743,0,0,0,0,0,0,0,0,7,4748236,114507,0,0,380284,0,0,","2015-01-20T11:58:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:58:25 AM EST,8044,1754,0,7,585,80,4,20808,0,0,21271,16743,0,0,0,0,0,0,0,0,2,4748236,114403,0,0,380262,0,0,","2015-01-20T11:58:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:58:40 AM EST,8044,1474,0,7,590,76,4,20808,0,0,21255,16743,0,0,0,0,0,0,0,0,2,4748236,114401,0,0,380318,0,0,","2015-01-20T11:58:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:58:55 AM EST,8044,948,0,8,574,77,4,20801,0,0,21247,16743,0,0,0,0,0,0,0,0,2,4748236,114401,0,0,380284,0,0,","2015-01-20T11:58:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:59:10 AM EST,8044,661,0,8,584,76,4,20801,0,0,21232,16743,0,0,0,0,0,0,0,0,14,4748236,114483,0,0,379869,0,0,","2015-01-20T11:59:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:59:25 AM EST,8048,2816,0,8,600,70,4,20802,0,0,21320,16743,0,0,0,0,0,0,0,0,5,4748236,114388,0,0,379876,0,0,","2015-01-20T11:59:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:59:40 AM EST,8048,2538,2,8,567,90,4,20809,0,0,21139,16743,0,0,0,0,0,0,0,0,2,4748236,114393,0,0,379979,0,0,","2015-01-20T11:59:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:59:55 AM EST,8048,2259,0,8,587,77,4,20803,0,0,21236,16743,0,0,0,0,0,0,0,0,4,4748236,114396,0,0,379973,0,0,","2015-01-20T11:59:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:00:10 AM EST,8048,1968,0,8,549,72,4,20803,0,0,21214,16743,0,0,0,0,0,0,0,0,6,4748236,114491,0,0,379975,0,0,","2015-01-20T12:00:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:00:25 AM EST,8048,1690,0,8,541,89,4,20803,0,0,21258,16743,0,0,0,0,0,0,0,0,2,4748236,114412,0,0,380021,0,0,","2015-01-20T12:00:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:00:40 AM EST,8048,1274,0,8,545,88,4,20809,0,0,21168,16743,0,0,0,0,0,0,0,0,2,4748236,114412,0,0,378092,0,0,","2015-01-20T12:00:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:00:55 AM EST,8048,996,0,8,571,80,4,20803,0,0,21234,16743,0,0,0,0,0,0,0,0,2,4748236,114412,0,0,378058,0,0,","2015-01-20T12:00:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:01:10 AM EST,8048,723,0,8,551,111,4,20809,0,0,21296,16743,0,0,0,0,0,0,0,0,2,4748236,114513,0,0,378038,0,0,","2015-01-20T12:01:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:01:25 AM EST,8033,2828,0,8,569,75,4,20809,0,0,21172,16743,0,0,0,0,0,0,0,0,2,4748236,114417,0,0,378084,0,0,","2015-01-20T12:01:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 11:01:40 AM EST,8033,2546,2,8,567,83,4,20803,0,0,21296,16743,0,0,0,0,0,0,0,0,2,4748236,114418,0,0,378138,0,0,","2015-01-20T12:01:40.000+1100"
